partner_id,partner_name,partner_type
PTR010,SavvyShopperNet,Loyalty/Cashback
PTR008,TravelWithMe,Content Site
PTR014,OutdoorLifeReview,Content Site
PTR009,GadgetGuru,Content Site
PTR012,FoodieFinds,Content Site
PTR013,BudgetBeautyBlog,Influencer
PTR006,HomeAndGardenTips,Content Site
PTR015,CampusCoupons,Coupon Site
PTR002,Coupon King,Coupon Site
PTR003,Tech Review Hub,Content Site
PTR020,EcoLivingToday,Content Site
PTR005,DealSeeker247,Coupon Site
PTR018,WellnessWeekly,Influencer
PTR017,AutoDealsDaily,Affiliate
PTR016,PetLoversHub,Content Site
PTR001,StyleBlog Daily,Content Site
PTR019,GamerGearReviews,Content Site
PTR011,ParentingPulse,Content Site
PTR004,InfluenceHer,Influencer
PTR007,FitLifeCoach,Influencer
