source_row_id,partner_id,campaign_id,click_date,clicks,conversions,revenue,commission_paid,device_type,region
1,PTR010,4,2026-03-14,3477,352,30814.06,2465.12,Tablet,US
2,PTR008,6,2026-04-27,1538,59,10700.62,535.03,Mobile,US
3,PTR014,4,2025-06-09,86,2,401.65,40.16,Tablet,CA
4,PTR009,3,2025-05-30,6089,0,0.00,0.00,Mobile,UK
5,PTR012,3,2026-06-05,502,35,4069.61,406.96,Desktop,US
6,PTR013,2,2025-08-09,3382,182,18193.89,3638.78,Desktop,UK
7,PTR012,1,2025-04-27,823,68,8688.38,1737.68,Desktop,AU
8,PTR009,3,2025-06-04,3583,361,73990.41,8878.85,Mobile,UK
9,PTR006,3,2025-04-26,2856,452,16390.06,2458.51,Mobile,US
10,PTR015,4,2026-01-27,1298,59,11984.73,2396.95,Tablet,DE
11,PTR002,3,2025-10-15,460,18,1537.80,153.78,Tablet,CA
12,PTR003,5,2025-10-07,3713,222,44767.08,5372.05,Desktop,US
13,PTR020,3,2025-04-05,3849,298,41086.43,2054.32,Mobile,UK
14,PTR005,1,2026-05-15,3640,41,3256.17,651.23,Tablet,AU
15,PTR020,3,2026-04-27,138,14,1513.07,302.61,Tablet,US
16,PTR009,3,2025-06-20,524,68,2665.71,133.29,Desktop,DE
18,PTR018,2,2025-03-29,3154,174,24464.22,3669.63,Desktop,DE
19,PTR017,5,2026-04-08,1020,52,3233.02,3123.96,Mobile,US
20,PTR006,3,2026-01-23,3011,88,18436.14,2765.42,Mobile,US
21,PTR016,5,2025-10-21,2491,58,3849.95,769.99,Tablet,CA
22,PTR008,4,2025-08-24,1694,57,10578.99,846.32,Tablet,DE
23,PTR001,4,2025-11-02,2763,137,8505.12,1020.61,Mobile,US
24,PTR010,2,2026-06-18,3105,54,6787.05,678.71,Tablet,US
25,PTR015,4,2025-10-24,836,10,541.56,108.31,Tablet,UK
26,PTR018,6,2025-06-01,527,37,7929.11,396.46,Tablet,AU
27,PTR013,3,2025-07-09,2543,179,29142.23,5828.45,Mobile,DE
29,PTR016,2,2026-05-08,3546,51,11066.40,1106.64,Desktop,US
30,PTR014,3,2026-04-11,2918,324,51975.21,6237.03,Mobile,US
31,PTR013,2,2026-06-24,1051,55,7792.55,389.63,Mobile,US
32,PTR015,2,2026-05-22,924,38,6662.73,666.27,Mobile,DE
33,PTR012,3,2025-08-08,1131,64,9083.60,726.69,Desktop,US
34,PTR013,1,2026-05-06,3369,126,21342.02,4268.40,Mobile,AU
35,PTR006,5,2026-06-05,2312,186,39838.15,5975.72,Desktop,CA
36,PTR005,3,2025-01-15,2846,120,9964.17,1992.83,Tablet,AU
37,PTR019,6,2025-01-21,1563,141,13387.56,1606.51,Desktop,AU
38,PTR011,2,2025-06-01,3641,449,68242.71,10236.41,Tablet,US
39,PTR019,1,2025-09-02,1597,89,11076.74,1329.21,Mobile,US
40,PTR006,2,2025-09-25,972,129,11001.62,550.08,Desktop,CA
41,PTR014,4,2025-10-27,952,46,9008.79,1081.05,Tablet,CA
42,PTR016,2,2025-12-16,2073,98,9807.52,1961.50,Tablet,CA
43,PTR014,5,2025-05-30,1193,40,2636.21,395.43,Mobile,US
44,PTR018,3,2026-02-27,2287,91,7526.06,376.30,Mobile,US
45,PTR008,3,2025-04-25,3013,81,10852.87,1627.93,Mobile,UK
46,PTR011,5,2025-03-21,1425,56,1858.57,371.71,Desktop,US
47,PTR002,3,2025-06-11,3619,215,33991.29,6798.26,Desktop,US
48,PTR008,4,2025-07-16,2201,96,6356.19,317.81,Mobile,UK
49,PTR015,6,2025-02-14,1497,51,3743.92,748.78,Tablet,AU
50,PTR004,4,2026-06-07,1696,149,9974.50,997.45,Mobile,US
51,PTR011,2,2025-07-24,1652,129,16415.29,820.76,Tablet,CA
52,PTR008,3,2026-04-13,597,67,13082.55,654.13,Unknown,DE
53,PTR008,2,2026-02-09,5469,0,0.00,0.00,Mobile,UK
54,PTR004,6,2025-11-23,1915,72,1826.93,219.23,Mobile,DE
55,PTR011,6,2025-06-26,3971,0,0.00,0.00,Desktop,AU
56,PTR016,3,2025-09-20,2668,445,51216.43,5121.64,Desktop,DE
57,PTR014,3,2025-12-27,3397,290,11090.44,887.24,Mobile,US
58,PTR011,1,2025-11-27,2572,87,18050.70,902.54,Desktop,UK
59,PTR011,2,2025-05-20,1927,107,20505.41,4101.08,Desktop,US
60,PTR018,2,2026-06-23,2923,167,18269.92,913.50,Mobile,CA
61,PTR017,4,2025-03-27,1080,29,2752.64,220.21,Desktop,US
62,PTR011,5,2025-09-14,379,43,5820.49,291.02,Tablet,US
63,PTR020,2,2026-03-21,2981,173,7834.73,626.78,Desktop,US
64,PTR012,3,2025-01-06,3560,207,5142.02,514.20,Tablet,US
65,PTR008,6,2025-02-16,980,113,8129.23,650.34,Tablet,US
66,PTR012,2,2025-06-16,1460,82,12123.47,1818.52,Mobile,AU
67,PTR017,1,2025-12-10,2375,159,21725.48,4345.10,Desktop,US
68,PTR004,5,2025-12-10,568,61,11308.04,2261.61,Mobile,US
69,PTR018,6,2025-01-23,3987,191,31334.88,2506.79,Desktop,US
70,PTR002,5,2025-09-24,2068,94,3137.52,627.50,Desktop,CA
71,PTR007,3,2025-05-23,3704,461,69371.60,8324.59,Tablet,DE
72,PTR004,1,2026-01-12,3500,224,17631.89,2644.78,Desktop,DE
73,PTR019,5,2026-05-15,2930,38,4879.86,487.99,Desktop,DE
74,PTR016,1,2025-04-23,2769,204,22707.80,3406.17,Desktop,US
75,PTR001,4,2026-05-01,3966,500,30823.18,1541.16,Tablet,CA
76,PTR012,5,2025-08-20,1744,172,10927.80,1639.17,Mobile,US
77,PTR007,1,2026-05-30,2810,134,14254.25,1710.51,Tablet,AU
78,PTR002,4,2025-11-24,578,71,4840.95,580.91,Tablet,US
79,PTR010,4,2025-01-29,208,22,4195.57,839.11,Unknown,AU
80,PTR008,6,2026-01-26,1322,59,6831.41,546.51,Mobile,CA
81,PTR017,6,2026-04-07,690,10,1507.15,301.43,Mobile,UK
82,PTR008,5,2026-04-02,1607,162,7436.24,371.81,Desktop,US
83,PTR011,3,2025-12-29,3976,341,31346.21,4701.93,Mobile,DE
84,PTR007,2,2025-08-11,860,58,1052.32,84.19,Tablet,UK
85,PTR011,6,2025-01-06,802,112,24416.48,1953.32,Mobile,DE
87,PTR002,5,2026-03-04,3830,411,47903.57,9580.71,Mobile,US
88,PTR020,2,2025-08-01,336,22,2651.46,530.29,Mobile,US
89,PTR016,6,2026-06-13,3367,184,29524.96,3543.00,Mobile,US
90,PTR017,6,2025-04-08,3948,122,8765.86,1753.17,Mobile,CA
91,PTR003,3,2025-08-26,1696,127,4115.43,205.77,Mobile,DE
92,PTR008,6,2025-06-16,3615,153,26834.55,3220.15,Desktop,AU
93,PTR013,1,2026-04-26,3615,351,55902.34,8385.35,Tablet,US
94,PTR007,1,2026-01-08,291,36,5435.80,271.79,Tablet,US
95,PTR010,1,2025-04-06,432,16,2219.03,110.95,Desktop,UK
96,PTR008,4,2025-04-21,3467,61,3743.12,449.17,Tablet,US
97,PTR014,4,2025-06-02,2964,30,3455.05,691.01,Tablet,CA
98,PTR013,3,2026-03-05,2041,135,8393.42,419.67,Tablet,DE
99,PTR005,2,2025-08-03,1635,11,1273.84,63.69,Tablet,DE
100,PTR010,6,2026-05-13,3121,299,15938.60,1593.86,Tablet,US
101,PTR014,3,2025-11-29,690,45,2917.50,145.88,Tablet,US
103,PTR004,5,2026-01-17,2283,279,42506.41,5100.77,Tablet,DE
104,PTR018,6,2025-06-30,7218,0,0.00,0.00,Desktop,US
105,PTR014,2,2025-07-24,3656,222,43856.15,3508.49,Mobile,US
106,PTR006,6,2025-06-20,1188,50,1299.52,129.95,Mobile,US
