partner_type,forecast_month,moving_avg_forecast,linear_regression_forecast,monthly_trend_slope
Affiliate,2026-07-01,25359.54,25573.44,-1366.88
Affiliate,2026-08-01,25359.54,24206.56,-1366.88
Affiliate,2026-09-01,25359.54,22839.69,-1366.88
Content Site,2026-07-01,249295.39,197688.47,-3537.07
Content Site,2026-08-01,249295.39,194151.4,-3537.07
Content Site,2026-09-01,249295.39,190614.33,-3537.07
Coupon Site,2026-07-01,134191.51,114460.02,3513.13
Coupon Site,2026-08-01,134191.51,117973.15,3513.13
Coupon Site,2026-09-01,134191.51,121486.27,3513.13
Influencer,2026-07-01,118165.6,126560.08,2891.88
Influencer,2026-08-01,118165.6,129451.96,2891.88
Influencer,2026-09-01,118165.6,132343.84,2891.88
Loyalty/Cashback,2026-07-01,19238.38,23512.41,744.53
Loyalty/Cashback,2026-08-01,19238.38,24256.94,744.53
Loyalty/Cashback,2026-09-01,19238.38,25001.47,744.53
