partner_id,partner_name,partner_type,month,monthly_revenue
PTR001,StyleBlog Daily,Content Site,2025-02-01,77345.04
PTR001,StyleBlog Daily,Content Site,2025-03-01,1718.96
PTR001,StyleBlog Daily,Content Site,2025-04-01,6134.65
PTR001,StyleBlog Daily,Content Site,2025-05-01,90265.96
PTR001,StyleBlog Daily,Content Site,2025-06-01,20611.18
PTR001,StyleBlog Daily,Content Site,2025-07-01,16284.49
PTR001,StyleBlog Daily,Content Site,2025-08-01,5347.85
PTR001,StyleBlog Daily,Content Site,2025-11-01,41091.15
PTR001,StyleBlog Daily,Content Site,2025-12-01,8859.73
PTR001,StyleBlog Daily,Content Site,2026-01-01,30485.10
PTR001,StyleBlog Daily,Content Site,2026-02-01,0.00
PTR001,StyleBlog Daily,Content Site,2026-03-01,6427.69
PTR001,StyleBlog Daily,Content Site,2026-04-01,155.07
PTR001,StyleBlog Daily,Content Site,2026-05-01,30823.18
PTR001,StyleBlog Daily,Content Site,2026-06-01,25357.12
PTR002,Coupon King,Coupon Site,2025-02-01,45435.80
PTR002,Coupon King,Coupon Site,2025-04-01,14754.97
PTR002,Coupon King,Coupon Site,2025-05-01,25249.11
PTR002,Coupon King,Coupon Site,2025-06-01,35022.34
PTR002,Coupon King,Coupon Site,2025-08-01,41227.77
PTR002,Coupon King,Coupon Site,2025-09-01,13735.08
PTR002,Coupon King,Coupon Site,2025-10-01,7531.63
PTR002,Coupon King,Coupon Site,2025-11-01,12752.72
PTR002,Coupon King,Coupon Site,2025-12-01,2382.54
PTR002,Coupon King,Coupon Site,2026-02-01,12217.61
PTR002,Coupon King,Coupon Site,2026-03-01,73307.66
PTR002,Coupon King,Coupon Site,2026-04-01,37461.73
PTR002,Coupon King,Coupon Site,2026-05-01,0.00
PTR003,Tech Review Hub,Content Site,2025-01-01,1320.80
PTR003,Tech Review Hub,Content Site,2025-03-01,69002.47
PTR003,Tech Review Hub,Content Site,2025-06-01,17361.25
PTR003,Tech Review Hub,Content Site,2025-08-01,28544.15
PTR003,Tech Review Hub,Content Site,2025-09-01,58666.87
PTR003,Tech Review Hub,Content Site,2025-10-01,83571.54
PTR003,Tech Review Hub,Content Site,2025-11-01,3440.15
PTR003,Tech Review Hub,Content Site,2025-12-01,9208.68
PTR003,Tech Review Hub,Content Site,2026-01-01,26345.67
